k,strategy,words,representation_unique,representation_collision_entries,representation_collision_rate,representation_collision_pairs,representation_max_group,hash,hash_unique,hash_collision_entries,hash_collision_rate,hash_collision_pairs,hash_max_group,hashes_per_second
8,HPSS,466550,392351,74199,0.1590376165469939,498441,355,XXHASH64,392351,74199,0.1590376165469939,498441,355,3998077.4950180957
8,MIDDLE,466550,389992,76558,0.1640938806130104,167865,54,HPSS_POSITIONAL,389992,76558,0.1640938806130104,167865,54,1244397.9719842405
8,MIDDLE,466550,389992,76558,0.1640938806130104,167865,54,FNV1A64,389992,76558,0.1640938806130104,167865,54,1084711.1010732462
8,MIDDLE,466550,389992,76558,0.1640938806130104,167865,54,MURMUR3_64,389992,76558,0.1640938806130104,167865,54,3499347.2785428045
8,MIDDLE,466550,389992,76558,0.1640938806130104,167865,54,XXHASH64,389992,76558,0.1640938806130104,167865,54,3981754.883091303
10,PREFIX,466550,407315,59235,0.1269638838280999,133334,31,HPSS_POSITIONAL,407315,59235,0.1269638838280999,133334,31,1090533.1929641264
10,PREFIX,466550,407315,59235,0.1269638838280999,133334,31,FNV1A64,407315,59235,0.1269638838280999,133334,31,956464.8720471064
10,PREFIX,466550,407315,59235,0.1269638838280999,133334,31,MURMUR3_64,407315,59235,0.1269638838280999,133334,31,3388312.1568276747
10,PREFIX,466550,407315,59235,0.1269638838280999,133334,31,XXHASH64,407315,59235,0.1269638838280999,133334,31,3898112.7327496996
10,SUFFIX,466550,413765,52785,0.11313899903547316,251730,199,HPSS_POSITIONAL,413765,52785,0.11313899903547316,251730,199,1016125.474601594
10,SUFFIX,466550,413765,52785,0.11313899903547316,251730,199,FNV1A64,413765,52785,0.11313899903547316,251730,199,926637.6935897927
10,SUFFIX,466550,413765,52785,0.11313899903547316,251730,199,MURMUR3_64,413765,52785,0.11313899903547316,251730,199,3443977.5433093347
10,SUFFIX,466550,413765,52785,0.11313899903547316,251730,199,XXHASH64,413765,52785,0.11313899903547316,251730,199,3899113.6538590603
10,HPSS,466550,445300,21250,0.045547101060979533,76200,147,HPSS_POSITIONAL,445300,21250,0.045547101060979533,76200,147,1100304.4571087155
10,HPSS,466550,445300,21250,0.045547101060979533,76200,147,FNV1A64,445300,21250,0.045547101060979533,76200,147,944362.0634479325
10,HPSS,466550,445300,21250,0.045547101060979533,76200,147,MURMUR3_64,445300,21250,0.045547101060979533,76200,147,3555655.043948268
10,HPSS,466550,445300,21250,0.045547101060979533,76200,147,XXHASH64,445300,21250,0.045547101060979533,76200,147,4045323.788651708
10,MIDDLE,466550,439498,27052,0.05798306719537027,43317,27,HPSS_POSITIONAL,439498,27052,0.05798306719537027,43317,27,1130289.9945940766
10,MIDDLE,466550,439498,27052,0.05798306719537027,43317,27,FNV1A64,439498,27052,0.05798306719537027,43317,27,946015.3458505957
10,MIDDLE,466550,439498,27052,0.05798306719537027,43317,27,MURMUR3_64,439498,27052,0.05798306719537027,43317,27,3352894.290861215
10,MIDDLE,466550,439498,27052,0.05798306719537027,43317,27,XXHASH64,439498,27052,0.05798306719537027,43317,27,3816566.1844748985
12,PREFIX,466550,445322,21228,0.04549994641517522,37659,28,HPSS_POSITIONAL,445322,21228,0.04549994641517522,37659,28,992339.5534078492
12,PREFIX,466550,445322,21228,0.04549994641517522,37659,28,FNV1A64,445322,21228,0.04549994641517522,37659,28,880286.0317717198
